Index,MC,TYPE,SubChannel,Partition,Nibble,Bit,Offset,FieldName,Register,Field,Name,Name_Index,combined_string
2593,M2,DATA,B,2,0,0,x,Rdac_preampVoutcm,ddrd_n0_rxdq_ctl2_bit[0],M2_B_2_0_0_x_RdacPreampVoutcm,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA_2593,&---M2---DATA---B---2---0---0---x---Rdac_preampVoutcm---ddrd_n0_rxdq_ctl2_bit[0]---M2_B_2_0_0_x_RdacPreampVoutcm
2594,M2,DATA,B,2,0,0,x,preamp_rshunt,ddrd_n0_rxdq_ctl2_bit[0],M2_B_2_0_0_x_PreampRshunt,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA_2594,&---M2---DATA---B---2---0---0---x---preamp_rshunt---ddrd_n0_rxdq_ctl2_bit[0]---M2_B_2_0_0_x_PreampRshunt
2595,M2,DATA,B,2,0,0,x,RdacSum0Voutcm,ddrd_n0_rxdq_ctl2_bit[0],M2_B_2_0_0_x_RdacSum0Voutcm,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA_2595,&---M2---DATA---B---2---0---0---x---RdacSum0Voutcm---ddrd_n0_rxdq_ctl2_bit[0]---M2_B_2_0_0_x_RdacSum0Voutcm
2596,M2,DATA,B,2,0,0,x,RdacSum180Voutcm,ddrd_n0_rxdq_ctl2_bit[0],M2_B_2_0_0_x_RdacSum180Voutcm,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA_2596,&---M2---DATA---B---2---0---0---x---RdacSum180Voutcm---ddrd_n0_rxdq_ctl2_bit[0]---M2_B_2_0_0_x_RdacSum180Voutcm
2597,M2,DATA,B,2,0,0,x,RdacSum270Voutcm,ddrd_n0_rxdq_ctl2_bit[0],M2_B_2_0_0_x_RdacSum270Voutcm,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA_2597,&---M2---DATA---B---2---0---0---x---RdacSum270Voutcm---ddrd_n0_rxdq_ctl2_bit[0]---M2_B_2_0_0_x_RdacSum270Voutcm
2598,M2,DATA,B,2,0,0,x,RdacSum90Voutcm,ddrd_n0_rxdq_ctl2_bit[0],M2_B_2_0_0_x_RdacSum90Voutcm,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA_2598,&---M2---DATA---B---2---0---0---x---RdacSum90Voutcm---ddrd_n0_rxdq_ctl2_bit[0]---M2_B_2_0_0_x_RdacSum90Voutcm
2599,M2,DATA,B,2,0,0,x,vref_ctl,ddrd_n0_rxdq_ctl2_bit[0],M2_B_2_0_0_x_VrefCtl,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA_2599,&---M2---DATA---B---2---0---0---x---vref_ctl---ddrd_n0_rxdq_ctl2_bit[0]---M2_B_2_0_0_x_VrefCtl
2600,M2,DATA,B,2,0,0,x,Sum0OffsetTune,ddrd_n0_rxdq_ctl2_bit[0],M2_B_2_0_0_x_Sum0OffsetTune,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA_2600,&---M2---DATA---B---2---0---0---x---Sum0OffsetTune---ddrd_n0_rxdq_ctl2_bit[0]---M2_B_2_0_0_x_Sum0OffsetTune
2601,M2,DATA,B,2,0,0,x,Sum180OffsetTune,ddrd_n0_rxdq_ctl2_bit[0],M2_B_2_0_0_x_Sum180OffsetTune,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA_2601,&---M2---DATA---B---2---0---0---x---Sum180OffsetTune---ddrd_n0_rxdq_ctl2_bit[0]---M2_B_2_0_0_x_Sum180OffsetTune
2602,M2,DATA,B,2,0,0,x,Sum270OffsetTune,ddrd_n0_rxdq_ctl2_bit[0],M2_B_2_0_0_x_Sum270OffsetTune,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA_2602,&---M2---DATA---B---2---0---0---x---Sum270OffsetTune---ddrd_n0_rxdq_ctl2_bit[0]---M2_B_2_0_0_x_Sum270OffsetTune
2603,M2,DATA,B,2,0,0,x,Sum90OffsetTune,ddrd_n0_rxdq_ctl2_bit[0],M2_B_2_0_0_x_Sum90OffsetTune,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA_2603,&---M2---DATA---B---2---0---0---x---Sum90OffsetTune---ddrd_n0_rxdq_ctl2_bit[0]---M2_B_2_0_0_x_Sum90OffsetTune
2604,M2,DATA,B,2,0,1,x,Sum_rshunt,ddrd_n0_rxdq_ctl2_bit[1],M2_B_2_0_1_x_SumRshunt,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA_2604,&---M2---DATA---B---2---0---1---x---Sum_rshunt---ddrd_n0_rxdq_ctl2_bit[1]---M2_B_2_0_1_x_SumRshunt
2605,M2,DATA,B,2,0,1,x,Rdac_preampVoutcm,ddrd_n0_rxdq_ctl2_bit[1],M2_B_2_0_1_x_RdacPreampVoutcm,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA_2605,&---M2---DATA---B---2---0---1---x---Rdac_preampVoutcm---ddrd_n0_rxdq_ctl2_bit[1]---M2_B_2_0_1_x_RdacPreampVoutcm
2606,M2,DATA,B,2,0,1,x,preamp_rshunt,ddrd_n0_rxdq_ctl2_bit[1],M2_B_2_0_1_x_PreampRshunt,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA_2606,&---M2---DATA---B---2---0---1---x---preamp_rshunt---ddrd_n0_rxdq_ctl2_bit[1]---M2_B_2_0_1_x_PreampRshunt
2607,M2,DATA,B,2,0,1,x,RdacSum0Voutcm,ddrd_n0_rxdq_ctl2_bit[1],M2_B_2_0_1_x_RdacSum0Voutcm,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA_2607,&---M2---DATA---B---2---0---1---x---RdacSum0Voutcm---ddrd_n0_rxdq_ctl2_bit[1]---M2_B_2_0_1_x_RdacSum0Voutcm
2608,M2,DATA,B,2,0,1,x,RdacSum180Voutcm,ddrd_n0_rxdq_ctl2_bit[1],M2_B_2_0_1_x_RdacSum180Voutcm,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA_2608,&---M2---DATA---B---2---0---1---x---RdacSum180Voutcm---ddrd_n0_rxdq_ctl2_bit[1]---M2_B_2_0_1_x_RdacSum180Voutcm
2609,M2,DATA,B,2,0,1,x,RdacSum270Voutcm,ddrd_n0_rxdq_ctl2_bit[1],M2_B_2_0_1_x_RdacSum270Voutcm,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA_2609,&---M2---DATA---B---2---0---1---x---RdacSum270Voutcm---ddrd_n0_rxdq_ctl2_bit[1]---M2_B_2_0_1_x_RdacSum270Voutcm
2610,M2,DATA,B,2,0,1,x,RdacSum90Voutcm,ddrd_n0_rxdq_ctl2_bit[1],M2_B_2_0_1_x_RdacSum90Voutcm,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA_2610,&---M2---DATA---B---2---0---1---x---RdacSum90Voutcm---ddrd_n0_rxdq_ctl2_bit[1]---M2_B_2_0_1_x_RdacSum90Voutcm
2611,M2,DATA,B,2,0,1,x,vref_ctl,ddrd_n0_rxdq_ctl2_bit[1],M2_B_2_0_1_x_VrefCtl,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA_2611,&---M2---DATA---B---2---0---1---x---vref_ctl---ddrd_n0_rxdq_ctl2_bit[1]---M2_B_2_0_1_x_VrefCtl
2612,M2,DATA,B,2,0,1,x,Sum0OffsetTune,ddrd_n0_rxdq_ctl2_bit[1],M2_B_2_0_1_x_Sum0OffsetTune,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA_2612,&---M2---DATA---B---2---0---1---x---Sum0OffsetTune---ddrd_n0_rxdq_ctl2_bit[1]---M2_B_2_0_1_x_Sum0OffsetTune
2613,M2,DATA,B,2,0,1,x,Sum180OffsetTune,ddrd_n0_rxdq_ctl2_bit[1],M2_B_2_0_1_x_Sum180OffsetTune,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA_2613,&---M2---DATA---B---2---0---1---x---Sum180OffsetTune---ddrd_n0_rxdq_ctl2_bit[1]---M2_B_2_0_1_x_Sum180OffsetTune
2614,M2,DATA,B,2,0,1,x,Sum270OffsetTune,ddrd_n0_rxdq_ctl2_bit[1],M2_B_2_0_1_x_Sum270OffsetTune,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA_2614,&---M2---DATA---B---2---0---1---x---Sum270OffsetTune---ddrd_n0_rxdq_ctl2_bit[1]---M2_B_2_0_1_x_Sum270OffsetTune
2615,M2,DATA,B,2,0,1,x,Sum90OffsetTune,ddrd_n0_rxdq_ctl2_bit[1],M2_B_2_0_1_x_Sum90OffsetTune,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA_2615,&---M2---DATA---B---2---0---1---x---Sum90OffsetTune---ddrd_n0_rxdq_ctl2_bit[1]---M2_B_2_0_1_x_Sum90OffsetTune
2616,M2,DATA,B,2,0,2,x,Sum_rshunt,ddrd_n0_rxdq_ctl2_bit[2],M2_B_2_0_2_x_SumRshunt,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA_2616,&---M2---DATA---B---2---0---2---x---Sum_rshunt---ddrd_n0_rxdq_ctl2_bit[2]---M2_B_2_0_2_x_SumRshunt
2617,M2,DATA,B,2,0,2,x,Rdac_preampVoutcm,ddrd_n0_rxdq_ctl2_bit[2],M2_B_2_0_2_x_RdacPreampVoutcm,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA_2617,&---M2---DATA---B---2---0---2---x---Rdac_preampVoutcm---ddrd_n0_rxdq_ctl2_bit[2]---M2_B_2_0_2_x_RdacPreampVoutcm
2618,M2,DATA,B,2,0,2,x,preamp_rshunt,ddrd_n0_rxdq_ctl2_bit[2],M2_B_2_0_2_x_PreampRshunt,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA_2618,&---M2---DATA---B---2---0---2---x---preamp_rshunt---ddrd_n0_rxdq_ctl2_bit[2]---M2_B_2_0_2_x_PreampRshunt
2619,M2,DATA,B,2,0,2,x,RdacSum0Voutcm,ddrd_n0_rxdq_ctl2_bit[2],M2_B_2_0_2_x_RdacSum0Voutcm,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA_2619,&---M2---DATA---B---2---0---2---x---RdacSum0Voutcm---ddrd_n0_rxdq_ctl2_bit[2]---M2_B_2_0_2_x_RdacSum0Voutcm
2620,M2,DATA,B,2,0,2,x,RdacSum180Voutcm,ddrd_n0_rxdq_ctl2_bit[2],M2_B_2_0_2_x_RdacSum180Voutcm,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA_2620,&---M2---DATA---B---2---0---2---x---RdacSum180Voutcm---ddrd_n0_rxdq_ctl2_bit[2]---M2_B_2_0_2_x_RdacSum180Voutcm
2621,M2,DATA,B,2,0,2,x,RdacSum270Voutcm,ddrd_n0_rxdq_ctl2_bit[2],M2_B_2_0_2_x_RdacSum270Voutcm,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA_2621,&---M2---DATA---B---2---0---2---x---RdacSum270Voutcm---ddrd_n0_rxdq_ctl2_bit[2]---M2_B_2_0_2_x_RdacSum270Voutcm
2622,M2,DATA,B,2,0,2,x,RdacSum90Voutcm,ddrd_n0_rxdq_ctl2_bit[2],M2_B_2_0_2_x_RdacSum90Voutcm,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA_2622,&---M2---DATA---B---2---0---2---x---RdacSum90Voutcm---ddrd_n0_rxdq_ctl2_bit[2]---M2_B_2_0_2_x_RdacSum90Voutcm
2623,M2,DATA,B,2,0,2,x,vref_ctl,ddrd_n0_rxdq_ctl2_bit[2],M2_B_2_0_2_x_VrefCtl,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA_2623,&---M2---DATA---B---2---0---2---x---vref_ctl---ddrd_n0_rxdq_ctl2_bit[2]---M2_B_2_0_2_x_VrefCtl
2624,M2,DATA,B,2,0,2,x,Sum0OffsetTune,ddrd_n0_rxdq_ctl2_bit[2],M2_B_2_0_2_x_Sum0OffsetTune,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA_2624,&---M2---DATA---B---2---0---2---x---Sum0OffsetTune---ddrd_n0_rxdq_ctl2_bit[2]---M2_B_2_0_2_x_Sum0OffsetTune
2625,M2,DATA,B,2,0,2,x,Sum180OffsetTune,ddrd_n0_rxdq_ctl2_bit[2],M2_B_2_0_2_x_Sum180OffsetTune,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA_2625,&---M2---DATA---B---2---0---2---x---Sum180OffsetTune---ddrd_n0_rxdq_ctl2_bit[2]---M2_B_2_0_2_x_Sum180OffsetTune
2626,M2,DATA,B,2,0,2,x,Sum270OffsetTune,ddrd_n0_rxdq_ctl2_bit[2],M2_B_2_0_2_x_Sum270OffsetTune,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA_2626,&---M2---DATA---B---2---0---2---x---Sum270OffsetTune---ddrd_n0_rxdq_ctl2_bit[2]---M2_B_2_0_2_x_Sum270OffsetTune
2627,M2,DATA,B,2,0,2,x,Sum90OffsetTune,ddrd_n0_rxdq_ctl2_bit[2],M2_B_2_0_2_x_Sum90OffsetTune,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA_2627,&---M2---DATA---B---2---0---2---x---Sum90OffsetTune---ddrd_n0_rxdq_ctl2_bit[2]---M2_B_2_0_2_x_Sum90OffsetTune
2628,M2,DATA,B,2,0,3,x,Sum_rshunt,ddrd_n0_rxdq_ctl2_bit[3],M2_B_2_0_3_x_SumRshunt,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA_2628,&---M2---DATA---B---2---0---3---x---Sum_rshunt---ddrd_n0_rxdq_ctl2_bit[3]---M2_B_2_0_3_x_SumRshunt
2629,M2,DATA,B,2,0,3,x,Rdac_preampVoutcm,ddrd_n0_rxdq_ctl2_bit[3],M2_B_2_0_3_x_RdacPreampVoutcm,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA_2629,&---M2---DATA---B---2---0---3---x---Rdac_preampVoutcm---ddrd_n0_rxdq_ctl2_bit[3]---M2_B_2_0_3_x_RdacPreampVoutcm
2630,M2,DATA,B,2,0,3,x,preamp_rshunt,ddrd_n0_rxdq_ctl2_bit[3],M2_B_2_0_3_x_PreampRshunt,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA_2630,&---M2---DATA---B---2---0---3---x---preamp_rshunt---ddrd_n0_rxdq_ctl2_bit[3]---M2_B_2_0_3_x_PreampRshunt
2631,M2,DATA,B,2,0,3,x,RdacSum0Voutcm,ddrd_n0_rxdq_ctl2_bit[3],M2_B_2_0_3_x_RdacSum0Voutcm,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA_2631,&---M2---DATA---B---2---0---3---x---RdacSum0Voutcm---ddrd_n0_rxdq_ctl2_bit[3]---M2_B_2_0_3_x_RdacSum0Voutcm
2632,M2,DATA,B,2,0,3,x,RdacSum180Voutcm,ddrd_n0_rxdq_ctl2_bit[3],M2_B_2_0_3_x_RdacSum180Voutcm,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA_2632,&---M2---DATA---B---2---0---3---x---RdacSum180Voutcm---ddrd_n0_rxdq_ctl2_bit[3]---M2_B_2_0_3_x_RdacSum180Voutcm
2633,M2,DATA,B,2,0,3,x,RdacSum270Voutcm,ddrd_n0_rxdq_ctl2_bit[3],M2_B_2_0_3_x_RdacSum270Voutcm,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA_2633,&---M2---DATA---B---2---0---3---x---RdacSum270Voutcm---ddrd_n0_rxdq_ctl2_bit[3]---M2_B_2_0_3_x_RdacSum270Voutcm
2634,M2,DATA,B,2,0,3,x,RdacSum90Voutcm,ddrd_n0_rxdq_ctl2_bit[3],M2_B_2_0_3_x_RdacSum90Voutcm,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA_2634,&---M2---DATA---B---2---0---3---x---RdacSum90Voutcm---ddrd_n0_rxdq_ctl2_bit[3]---M2_B_2_0_3_x_RdacSum90Voutcm
2635,M2,DATA,B,2,0,3,x,vref_ctl,ddrd_n0_rxdq_ctl2_bit[3],M2_B_2_0_3_x_VrefCtl,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA_2635,&---M2---DATA---B---2---0---3---x---vref_ctl---ddrd_n0_rxdq_ctl2_bit[3]---M2_B_2_0_3_x_VrefCtl
2636,M2,DATA,B,2,0,3,x,Sum0OffsetTune,ddrd_n0_rxdq_ctl2_bit[3],M2_B_2_0_3_x_Sum0OffsetTune,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA_2636,&---M2---DATA---B---2---0---3---x---Sum0OffsetTune---ddrd_n0_rxdq_ctl2_bit[3]---M2_B_2_0_3_x_Sum0OffsetTune
2637,M2,DATA,B,2,0,3,x,Sum180OffsetTune,ddrd_n0_rxdq_ctl2_bit[3],M2_B_2_0_3_x_Sum180OffsetTune,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA_2637,&---M2---DATA---B---2---0---3---x---Sum180OffsetTune---ddrd_n0_rxdq_ctl2_bit[3]---M2_B_2_0_3_x_Sum180OffsetTune
2638,M2,DATA,B,2,0,3,x,Sum270OffsetTune,ddrd_n0_rxdq_ctl2_bit[3],M2_B_2_0_3_x_Sum270OffsetTune,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA,MIO_DDR::ACIOLB_DDR_CTVD_K_PREHVQK_TAP_FIXDIG_MAX_LFM_DDR_4000_RXDQCODE_DATA_2638,&---M2---DATA---B---2---0---3---x---Sum270OffsetTune---ddrd_n0_rxdq_ctl2_bit[3]---M2_B_2_0_3_x_Sum270OffsetTune
